,brand,name,price,spec_rating,processor,Ram,ROM_type,display_size,resolution_width,resolution_height,OS
256,HP,Pavilion 14-dv2153TU Laptop,69990,67,12th Gen Intel Core i5 1235U,16GB,SSD,14,1920,1080,Windows 11 OS
257,Acer,TravelMate P2 TMP214-53 Business Laptop,56990,65,11th Gen Intel Core i7 1165G7,16GB,SSD,14,1920,1080,Windows 11 OS
272,Acer,Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop,41990,69.32352941,13th Gen Intel Core i3 1305U,8GB,SSD,15.6,1920,1080,Windows 11 OS
275,HP,Pavilion 15-eg3018TU Laptop,76900,69.32352941,13th Gen Intel Core i5 1335U,16GB,SSD,15.6,1920,1080,Windows 11 OS
276,HP,15s-fq3066TU Laptop,27890,69.32352941,Intel Celeron N4500,8GB,SSD,15.6,1366,768,Windows 11 OS
279,HP,255 G9 841W6PA Laptop,24999,69.32352941,3rd Gen AMD Ryzen 3  3250U,8GB,SSD,15.6,1366,768,DOS 3.0 OS
280,HP,255 G8 7J035AA Laptop,33999,69.32352941,5th Gen AMD Ryzen 5  5500U,8GB,SSD,15.6,1920,1080,Windows 11  OS
282,HP,Victus15-fb0147AX Gaming Laptop,47990,62,5th Gen AMD Ryzen 5  5600H,8GB,SSD,15.6,1920,1080,Windows 11 OS
284,HP,15S-EQ1550AU Laptop,31890,69.32352941,3rd Gen AMD Ryzen 3  3250U,8GB,SSD,15.6,1920,1080,Windows 11 OS
291,HP,Omen 16-xf0060AX Gaming Laptop,125990,80,7th Gen AMD Ryzen 7 7840HS,16GB,SSD,16,1920,1080,Windows 11 OS
292,HP,Pavilion 15-eg3017TU Laptop,72990,63,13th Gen Intel Core i5 1335U,16GB,SSD,15.6,1920,1080,Windows 11 OS
294,HP,Victus  15-fa1060TX  Gaming Laptop,99999,71,13th Gen Intel Core i5 13500H,16GB,SSD,15.6,1920,1080,Windows 11 OS
301,Acer,Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop,65999,65,12th Gen Intel Core i5 12450H,8GB,SSD,15.6,1920,1080,Windows 11 OS
302,Acer,Aspire Lite AL15-51 2023 Laptop,35990,69.32352941,5th Gen AMD Ryzen 5 5500U,8GB,SSD,15.6,1920,1080,Windows 11 OS
309,Acer,Aspire 5 15 A515-58M Gaming Laptop,56990,60,13th Gen Intel Core i5 1335U,16GB,SSD,15.6,1920,1080,Windows 11 OS
311,Acer,Swift 3 OLED SF314-71 NX.K9PSI.003 Laptop,54990,63,12th Gen Intel Core i5 12500H,8GB,SSD,14,2880,1800,Windows 11 OS
314,HP,Pavilion Plus ‎14-eh1047TU Laptop,107763,71,13th Gen Intel Core i7 13700H,16GB,SSD,14,2880,1800,Windows 11 OS
316,HP,Pavilion Plus 14-eh1022TU Laptop,80490,69,13th Gen Intel Core i5 1340P,16GB,SSD,14,2240,1400,Windows 11 OS
321,HP,14-hr0000AU Laptop,48999,60,7th Gen AMD Ryzen 5 7520U,16GB,SSD,14,1920,1080,Windows 11 OS
322,HP,Envy 15-fe0032TU Laptop,116990,70,13th Gen Intel Core i7 1355U,16GB,SSD,15.6,1920,1080,Windows 11 OS
323,Acer,Aspire 3 NX.KDESI.008 Laptop,30990,69.32352941,7th Gen AMD Ryzen 3 7320U,8GB,SSD,15.6,1920,1080,Windows 11 OS
329,HP,Pavilion 15-EH3101AU Laptop,65600,66,7th Gen AMD Ryzen 7 7730U,16GB,SSD,15.6,1920,1080,Windows 11 OS
335,Acer,One 14 Z8-415UN.599SI.009 Laptop,25990,69.32352941,11th Gen Intel Core i3 1115G4,8GB,SSD,14,1920,1080,Windows 11 OS
336,HP,Victus 15-fb0136AX Gaming Laptop,61990,66,5th Gen AMD Ryzen 5 5600H,16GB,SSD,15.6,1920,1080,Windows 11 OS
345,HP,15s-fy5002TU Laptop,51990,69.32352941,12th Gen Intel Core i5 1235U,8GB,SSD,15.6,1920,1080,Windows 11 OS
347,HP,15s-fy5003TU Laptop,37990,69.32352941,12th Gen Intel Core i3 1215U,8GB,SSD,15.6,1920,1080,Windows 11 OS
348,HP,15-fc0030AU Laptop,46490,69.32352941,7th Gen AMD Ryzen 5 7520U,16GB,SSD,15.6,1920,1080,Windows 11 OS
349,HP,15-eg3036TU Laptop,90490,69,13th Gen Intel Core i7 1360P,16GB,SSD,15.6,1920,1080,Windows 11 OS
350,HP,Victus 15-fb0122AX Gaming Laptop,55990,67,5th Gen AMD Ryzen 5  5600H ,8GB,SSD,15.6,1920,1080,Windows 11 OS
352,HP,15-fd0011TU Laptop,57990,69.32352941,13th Gen Intel Core i5 1335U,8GB,SSD,15.6,1920,1080,Windows 11 OS
353,Acer,Predator Helios Neo 16 NH.QLTSI.002 Laptop,104990,66,13th Gen Intel Core i7 13700HX,16GB,SSD,16,2560,1600,Windows 11 OS
354,Acer,Predator Helios Neo 16 NH.QLTSI.001 Laptop,99990,70,13th Gen Intel Core i5 13500HX,16GB,SSD,16,1920,1200,Windows 11 OS
357,HP,15-fc0026AU Laptop,34250,69.32352941,7th Gen AMD Ryzen 3 7320U,8GB,SSD,15.6,1920,1080,Windows 11 OS
358,HP,Victus 15-fa1066TX Gaming Laptop,109990,71,13th Gen Intel Core i7 13700H,16GB,SSD,15.6,1920,1080,Windows 11 OS
359,HP,15s-fq2738TU Laptop,33990,69.32352941,11th Gen Intel Core i3 1115G4 ,8GB,SSD,15.6,1366,768,Windows 11 OS
