,brand,name,price,spec_rating,processor,Ram,ROM_type,display_size,resolution_width,resolution_height,OS
723,HP,Omen 16-wd0770TX Gaming Laptop,102090,72,13th Gen Intel Core i5 13420H,16GB,SSD,16.1,1920,1080,Windows 11 OS
724,HP,Dragonfly G4 Laptop,231746,71,13th Gen Intel Core i7 1365U,16GB,SSD,13.5,1920,1280,Windows 11 OS
728,HP,Pavilion x360 14-ek1074TU Laptop,77990,67,13th Gen Intel Core i5 1335U,16GB,SSD,14,1920,1080,Windows 11 OS
733,HP,Omen 16-wf0111TX Gaming Laptop,146599,77,13th Gen Intel Core i7 13700HX,16GB,SSD,16.1,1920,1080,Windows 11 OS
734,Acer,Aspire 5 A515-56G NX.AT2SI.001 Laptop,44990,65,11th Gen Intel Core i5 1135G7,8GB,SSD,15.6,1920,1080,Windows 11 OS
736,HP,Omen 16-xf0059AX Gaming Laptop,128599,73,7th Gen AMD Ryzen 7 7840HS,16GB,SSD,16,1920,1080,Windows 11 OS
738,HP,Omen 16-wf0055TX Gaming Laptop,151990,77,13th Gen Intel Core i7 13700HX,16GB,SSD,16.1,1920,1080,Windows 11 OS
741,HP,255 G8 Laptop,22990,69.32352941,3rd Gen AMD Athlon  3050U,4GB,SSD,15.6,1920,1080,Windows 11 OS
746,Acer,Nitro 5 AN515-58 NH.QFHSI.007 Gaming Laptop,96256,72,12th Gen Intel Core i7 12700H,16GB,SSD,15.6,1920,1080,Windows 11 OS
761,Acer,Nitro 16 ‎AN16-41 Gaming Laptop,129990,80,7th Gen AMD Ryzen 7 7840HS,16GB,SSD,16,1920,1200,Windows 11 OS
762,Acer,Nitro 16 ‎AN16-41 2023 Gaming Laptop,114990,78,7th Gen AMD Ryzen 7 7840HS,8GB,SSD,16,1920,1200,Windows 11 OS
763,Acer,Aspire 5 2023 A515-58M Gaming Laptop,80000,69.32352941,13th Gen Intel Core i7 1355U,8GB,SSD,15.6,1920,1080,Windows 11 OS
764,Acer,Aspire 5 15 A515-58M Gaming Laptop,54990,60,13th Gen Intel Core i5 1335U,16GB,SSD,15.6,1920,1080,Windows 11 OS
770,HP,15s-fq3073TU Laptop Intel Pentium Silver N6000/ 8GB/ 512GB SSD/ Win11 Home),29999,69.32352941,Intel Pentium Silver   N6000 ,8GB,SSD,15.6,1366,768,Windows 11  OS
771,HP,ZBook Firefly 16 G9 2023 Workstation Laptop,97705,67,12th Gen Intel Core i5 1235U,16GB,SSD,16,1920,1200,Windows 11 OS
772,HP,ZBook Studio G9 16 Workstation WQUXGA Laptop,240707,89,12th Gen Intel Core i9 12900H,32GB,SSD,16,3840,2400,Windows 11 OS
773,HP,ZBook Studio G9 WUXGA Workstation Laptop,234990,83,12th Gen Intel Core i7 12700H ,16GB,SSD,16,1920,1200,Windows 11 OS
774,HP,ZBook Studio G9 16 WUXGA Workstation Laptop,209990,80,12th Gen Intel Core i7 12700H ,16GB,SSD,16,1920,1200,Windows 11 OS
775,HP,ZBook Studio G9 2023 Workstation WQUXGA Laptop,390914,69.32352941,12th Gen Intel Core i9 12900H,32GB,SSD,16,3840,2400,Windows 11 OS
776,HP,ZBook Studio G9 Workstation WQUXGA Laptop,172588,84,12th Gen Intel Core i7 12700H ,16GB,SSD,16,3840,2400,Windows 11 OS
778,HP,ZBook Studio G9 Workstation Laptop,254657,86,12th Gen Intel Core i7 12700H ,16GB,SSD,16,3840,2400,Windows 11 OS
786,HP,255 G8 6E3Z0PA Laptop,26999,69.32352941,3rd Gen AMD Ryzen 3  3250U,8GB,SSD,15.6,1366,768,DOS OS
787,HP,Omen 16-wd0990TX Gaming Laptop,103099,73,13th Gen Intel Core i5 13420H,16GB,SSD,16.1,2560,1440,Windows 11 OS
801,HP,Envy x360 15-fe0028TU Laptop,94990,66,13th Gen Intel Core i5 1335U,16GB,SSD,15.6,1920,1080,Windows 11 OS
802,HP,Envy x360 15-fh0019AU Laptop,86490,70,7th Gen AMD Ryzen 7 7730U,16GB,SSD,15.6,1920,1080,Windows 11 OS
803,HP,Envy x360 15-fh0015AU Laptop,77490,66,7th Gen AMD Ryzen 5 7530U,16GB,SSD,15.6,1920,1080,Windows 11 OS
804,HP,Envy x360 15-fh0016AU Laptop,85490,66,7th Gen AMD Ryzen 5 7530U,16GB,SSD,15.6,1920,1080,Windows 11 OS
806,HP,14-em0027AU Laptop,51990,60,7th Gen AMD Ryzen 5 7520U,16GB,SSD,14,1920,1080,Windows 11 OS
808,HP,14-em0025AU Laptop,34990,69.32352941,7th Gen AMD Ryzen 3 7320U,8GB,SSD,14,1920,1080,Windows 11 OS
814,HP,14-gr0000TU Laptop,44990,69.32352941,13th Gen Intel Core i3 1315U,8GB,SSD,14,1920,1080,Windows 11 OS
815,HP,Envy 15-fe0032TU Laptop,115990,70,13th Gen Intel Core i7 1355U,16GB,SSD,15.6,1920,1080,Windows 11 OS
816,HP,14-hr0000AU Laptop,50990,60,7th Gen AMD Ryzen 5 7520U,16GB,SSD,14,1920,1080,Windows 11 OS
817,HP,Envy 15-fe0030TU Laptop,109990,69,13th Gen Intel Core i7 1355U,16GB,SSD,15.6,1920,1080,Windows 11 OS
818,Acer,One 14 Z2-493 Laptop,29990,69.32352941,3rd Gen AMD Ryzen 5 3500U,8GB,SSD,14,1366,768,Windows 11 OS
825,HP,Zbook Power G4-A ZHAN 99 Laptop,137890,77,6th Gen AMD Ryzen 7 6800H,32GB,SSD,15.6,1920,1080,Windows 11 OS
828,HP,14-em0026AU Laptop,46990,69.32352941,7th Gen AMD Ryzen 5 7520U,8GB,SSD,14,1920,1080,Windows 11 OS
833,HP,250 G9 701H5PA Laptop,67990,66,12th Gen Intel Core i5 1235U,16GB,SSD,15.6,1920,1080,Windows 11 OS
839,Acer,Aspire 3 A315-510P Laptop,29980,69.32352941,Intel Core i3 N305,8GB,SSD,15.6,1920,1080,Windows 11 OS
841,HP,Pavilion 14-dv1043TU Laptop,58990,62,11th Gen Intel Core i5 1155G7,8GB,SSD,14,1920,1080,Windows 11 OS
845,Acer,Aspire 5 A514-56M 2023 Gaming Laptop,51990,69.32352941,13th Gen Intel Core i5 1335U,8GB,SSD,14,1920,1200,Windows 11 OS
848,Acer,One 14 2023 Z8-415 ‎Laptop,39990,69.32352941,11th Gen Intel Core i5  1135G7,8GB,SSD,14,1920,1080,Windows 11 OS
855,HP,255 G9 7M654PA Laptop,54999,63,12th Gen Intel Core i3 1215U,8GB,SSD,15.6,1366,768,Windows 11 OS
882,HP,Victus 16 7K4J6PAACJ Laptop,57990,70,11th Gen Intel Core i5 11400H ,8GB,SSD,16.1,1920,1080,Windows 11 OS
883,Acer,Aspire 7 A715-76G UN.QMESI.003 Gaming Laptop,54990,69,12th Gen Intel Core i5 12450H,16GB,SSD,15.6,1920,1080,Windows 11 OS
891,HP,Victus 16-d0302TX Gaming Laptop,66500,71,11th Gen Intel Core i5 11400H ,8GB,SSD,16.1,1920,1080,Windows 11 OS
895,HP,Omen 17-cm2003TX Gaming Laptop,171499,79,13th Gen Intel 7 13700HX ,16GB,SSD,17.3,2560,1440,Windows 11 OS
896,HP,14s-dr3003TU 832T7PA Laptop,29999,69.32352941,Intel Pentium Silver N6000,8GB,SSD,14,1366,768,Windows 11 OS
899,Acer,Aspire 3 A315-59 NX.K6TSI.00C Laptop,34990,69.32352941,12th Gen Intel Core i3 1215U,8GB,SSD,15.6,1920,1080,Windows 11 OS
903,HP,Victus 15-fb0137AX Gaming Laptop,74990,67,5th Gen AMD Ryzen 7 5800H,16GB,SSD,15.6,1920,1080,Windows 11 OS
905,HP,ProBook 445 G8 7K2J8PA Business Laptop,46490,63,5th Gen AMD Ryzen 7 5800U,8GB,SSD,14,1920,1080,DOS OS
910,HP,Victus 15-fb0131AX Gaming Laptop,51990,65,5th Gen AMD Ryzen 5 5600H,8GB,SSD,15.6,1920,1080,Windows 11 OS
913,Acer,Aspire 7 A715-76G NH.QMESI.003 Gaming Laptop,50990,65,12th Gen Intel Core i5 12450H,8GB,SSD,15.6,1920,1080,Windows 11 OS
914,HP,15s-fq3071TU Laptop,28490,69.32352941,Intel Celeron  N4500,8GB,SSD,15,1366,768,Windows 11  OS
917,Acer,One 14 Z2-493 Business Laptop,29990,69.32352941,3rd Gen AMD Ryzen 5 3500U,8GB,SSD,14,1366,768,Windows 11 OS
918,HP,Victus 15-fb0135AX Gaming Laptop,59990,64,5th Gen AMD Ryzen 5 5600H,8GB,SSD,15.6,1920,1080,Windows 11 OS
919,Acer,Swift Edge 16 2023 Laptop,107399,69.32352941,7th Gen AMD Ryzen 7040 Series 040,16GB,SSD,16,3840,2400,Windows 11 OS
924,Acer,Aspire Vero AV14-52P NX.KJTSI.002 Laptop,49990,69.32352941,13th Gen Intel Core i3 1315U,16GB,SSD,14,1920,1080,Windows OS
925,Acer,Aspire 5 A515-58M NX.KHGSI.002 Gaming Laptop,56990,69.32352941,13th Gen Intel Core i5 1335U,16GB,SSD,15.6,1920,1080,Windows 11 OS
