name,player style,nationality,base price (in lacs),final price (in lacs),franchise,status
Lance Morris,Bowler,Australia,30,,,UNSOLD
Mujtaba Yousuf,Bowler,India,20,,,UNSOLD
Yash Thakur,Bowler,India,20,45,LSG,SOLD
Vaibhav Arora,Allrounder,India,20,60,KKR,SOLD
Mohammed Azharuddeen,WK-Batter,India,20,,,UNSOLD
Upendra Yadav,WK-Batter,India,20,25,SRH,SOLD
Srikar Bharat,WK-Batter,India,20,120,GT,SOLD
Sanvir Singh,Allrounder,India,20,20,SRH,SOLD
Sumit Kumar,WK-Batter,India,20,,,UNSOLD
Shashank Singh,Allrounder,India,20,,,UNSOLD
Nishant Sindhu,Allrounder,India,20,60,CSK,SOLD
Abhimanyu Easwaran,WK-Batter,India,20,,,UNSOLD
Corbin Bosch,Allrounder,South Africa,20,,,UNSOLD
Saurabh Kumar,Allrounder,India,20,,,UNSOLD
Samarth Vyas,Allrounder,India,20,20,SRH,SOLD
Priyam Garg,Batter,India,20,,,UNSOLD
Vivrant Sharma,Allrounder,India,20,260,SRH,SOLD
Himmat Singh,Batter,India,20,,,UNSOLD
Shaik Rasheed,Batter,India,20,20,CSK,SOLD
Rohan Kunnummal,Batter,India,20,,,UNSOLD
Shubham Khajuria,Batter,India,20,,,UNSOLD
Odean Smith,Allrounder,West Indies,50,50,GT,SOLD
LR Chethan,Batter,India,20,,,UNSOLD
Kane Williamson,Batter,New Zealand,200,200,GT,SOLD
Ajinkya Rahane,Batter,India,50,50,CSK,SOLD
Mayank Agarwal,Batter,India,100,825,SRH,SOLD
Jason Holder,Allrounder,West Indies,200,575,RR,SOLD
Ishant Sharma,Bowler,India,50,50,DC,SOLD
Jaydev Unadkat,Bowler,India,50,50,LSG,SOLD
Mayank Markande,Bowler,India,50,50,SRH,SOLD
Nicholas Pooran,WK-Batter,West Indies,200,1600,LSG,SOLD
Mujeeb Ur Rahman,Bowler,Afghanistan,100,,,UNSOLD
Tabraiz Shamsi,Bowler,South Africa,100,,,UNSOLD
Adil Rashid,Bowler,England,200,200,SRH,SOLD
Jhye Richardson,Bowler,Australia,150,150,MI,SOLD
Adam Milne,Bowler,New Zealand,200,,,UNSOLD
Reece Topley,Bowler,England,75,190,RCB,SOLD
Chris Jordan,Bowler,England,200,,,UNSOLD
Philip Salt,Batter,England,200,200,DC,SOLD
Tom Banton,WK-Batter,England,200,,,UNSOLD
Heinrich Klaasen,WK-Batter,South Africa,100,525,SRH,SOLD
Ben Stokes,Allrounder,England,200,1625,CSK,SOLD
Cameron Green,Allrounder,Australia,200,1750,MI,SOLD
Sikandar Raza,Allrounder,Zimbabwe,50,50,PBKS,SOLD
Sam Curran,Allrounder,England,200,1850,PBKS,SOLD
Harry Brook,Batter,England,150,1325,SRH,SOLD
